docname,topic,proportion
shorten_highTemp.txt:938,001,0.386804
shorten_highTemp.txt:973,000,1.0
shorten_highTemp.txt:1008,000,1.0
shorten_highTemp.txt:1043,001,1.0
shorten_highTemp.txt:1078,001,1.0
shorten_highTemp.txt:1113,003,1.0
shorten_highTemp.txt:1148,003,1.0
shorten_highTemp.txt:1183,000,1.0
shorten_highTemp.txt:1218,003,1.0
shorten_highTemp.txt:1253,003,1.0
shorten_highTemp.txt:1288,000,1.0
shorten_highTemp.txt:1323,000,1.0
shorten_highTemp.txt:1358,012,1.0
shorten_highTemp.txt:1393,002,1.0
shorten_highTemp.txt:1428,003,1.0
shorten_highTemp.txt:1463,001,1.0
shorten_highTemp.txt:1498,001,1.0
shorten_highTemp.txt:1533,003,1.0
shorten_highTemp.txt:1568,003,1.0
shorten_highTemp.txt:1603,002,1.0
shorten_highTemp.txt:1638,002,1.0
shorten_highTemp.txt:1673,002,1.0
shorten_highTemp.txt:1708,001,1.0
shorten_highTemp.txt:1743,001,1.0
shorten_highTemp.txt:1778,012,1.0
shorten_highTemp.txt:1813,009,1.0
shorten_highTemp.txt:1848,002,1.0
shorten_highTemp.txt:1883,003,1.0
shorten_highTemp.txt:1918,003,1.0
shorten_highTemp.txt:1953,003,1.0
shorten_highTemp.txt:1988,003,1.0
shorten_highTemp.txt:2023,006,1.0
shorten_highTemp.txt:2058,000,1.0
shorten_highTemp.txt:2093,001,1.0
shorten_highTemp.txt:2128,003,1.0
shorten_highTemp.txt:2163,001,1.0
shorten_highTemp.txt:2198,000,1.0
shorten_highTemp.txt:2233,006,1.0
shorten_highTemp.txt:2268,003,1.0
shorten_highTemp.txt:2303,003,1.0
shorten_highTemp.txt:2338,010,1.0
shorten_highTemp.txt:2373,000,1.0
shorten_highTemp.txt:2408,006,1.0
shorten_highTemp.txt:2443,000,1.0
shorten_highTemp.txt:2478,001,1.0
shorten_highTemp.txt:2497,003,1.0
shorten_highTemp.txt:2532,000,0.613196
shorten_highTemp.txt:2532,001,0.386804
shorten_highTemp.txt:2567,002,1.0
shorten_highTemp.txt:2602,002,1.0
shorten_highTemp.txt:2637,000,1.0
